,judul,link
13,[SALAH] Vaksin Covid-19 Dapat Sebabkan AIDS Sampai Cacar Monyet,https://turnbackhoax.id/2022/05/31/salah-vaksin-covid-19-dapat-sebabkan-aids-sampai-cacar-monyet/
14,[SALAH] Pemberian Hadiah Senilai Rp35 Juta dari Indonesia Giveaway Trans7 yang Dipandu Baim Wong dan Paula Verhoeven,https://turnbackhoax.id/2022/05/31/salah-pemberian-hadiah-senilai-rp35-juta-dari-indonesia-giveaway-trans7-yang-dipandu-baim-wong-dan-paula-verhoeven/
15,[SALAH] Wujud Bebek dan Tikus Hasil Gabungan Kedua DNAnya,https://turnbackhoax.id/2022/05/31/salah-wujud-bebek-dan-tikus-hasil-gabungan-kedua-dnanya/
16,[SALAH] Foto Bayi Platypus yang Dipanggil “Puggle”,https://turnbackhoax.id/2022/05/31/salah-foto-bayi-platypus-yang-dipanggil-puggle/
17,"[SALAH] Foto Pemancing Dekat dengan Kumpulan Ikan Paus di Svalbard, Norwegia",https://turnbackhoax.id/2022/05/31/salah-foto-pemancing-dekat-dengan-kumpulan-ikan-paus-di-svalbard-norwegia/
18,[SALAH] Foto Fenomena Mata Sphinx Tertutup pada 13 Mei 2022,https://turnbackhoax.id/2022/05/31/salah-foto-fenomena-mata-sphinx-tertutup-pada-13-mei-2022/
19,"[SALAH] Foto “Xavier Bettel Perdana Menteri Luxembourg datang ke sebuah acara dengan istri lelakinya, Gauthier Destenay (brewok pakai longdress)”",https://turnbackhoax.id/2022/05/31/salah-foto-xavier-bettel-perdana-menteri-luxembourg-datang-ke-sebuah-acara-dengan-istri-lelakinya-gauthier-destenay-brewok-pakai-longdress/
20,[SALAH] 27 Mei 2022 anak Ridwan Kamil sudah ditemukan dalam keadaan selamat,https://turnbackhoax.id/2022/05/31/salah-27-mei-2022-anak-ridwan-kamil-sudah-ditemukan-dalam-keadaan-selamat/
21,"[SALAH]: Eric Thohir Berfoto Dengan Ibunya Ediba Tan Mei Hwa dan Kakak Ibunya, William Soerjadjaja, Jangan Terkecoh Dikira Pribumi Muslim",https://turnbackhoax.id/2022/05/31/salah-eric-thohir-berfoto-dengan-ibunya-ediba-tan-mei-hwa-dan-kakak-ibunya-william-soerjadjaja-jangan-terkecoh-dikira-pribumi-muslim/
22,[SALAH] Video Agen CIA Mendoktrin Mahasiswa Berdemo Dan Melawan Pemerintah,https://turnbackhoax.id/2022/05/31/salah-video-agen-cia-mendoktrin-mahasiswa-berdemo-dan-melawan-pemerintah/
23,[SALAH] Akun Facebook Bupati Malaka Simon Nahak,https://turnbackhoax.id/2022/05/31/salah-akun-facebook-bupati-malaka-simon-nahak/
24,[SALAH] Video Penari Robot di Shanghai Disneyland,https://turnbackhoax.id/2022/05/31/salah-video-penari-robot-di-shanghai-disneyland/
25,[SALAH] MUI Setujui Merek Bir Jadi Sponsor Formula E,https://turnbackhoax.id/2022/05/31/salah-mui-setujui-merek-bir-jadi-sponsor-formula-e/
26,"[SALAH] Sakit Hati Karena Disebut “Lame Duck (Bebek Lumpuh)”, Jokowi Tampar Rizal Ramli",https://turnbackhoax.id/2022/05/31/salah-sakit-hati-karena-disebut-lame-duck-bebek-lumpuh-jokowi-tampar-rizal-ramli/
27,[SALAH] Akun WhatsApp Tokopedia Membagikan Hadiah,https://turnbackhoax.id/2022/05/30/salah-akun-whatsapp-tokopedia-membagikan-hadiah/
28,[SALAH] DPW Partai NasDem DIY Buat Baliho Dukung Anies Baswedan untuk Pemilu Presiden 2024,https://turnbackhoax.id/2022/05/30/salah-dpw-partai-nasdem-diy-buat-baliho-dukung-anies-baswedan-untuk-pemilu-presiden-2024/
29,[SALAH] Anies Melarikan Diri Ke Eropa,https://turnbackhoax.id/2022/05/30/salah-anies-melarikan-diri-ke-eropa/
30,"[SALAH] “Innalillahi 😭 😭 Detik-Detik Ular Piton Tel4n Seorang Bocah Hidup-Hidup, Sang Ayah Tidak Hanya Bisa Pasrah 😭😭”",https://turnbackhoax.id/2022/05/30/salah-innalillahi-%f0%9f%98%ad-%f0%9f%98%ad-detik-detik-ular-piton-tel4n-seorang-bocah-hidup-hidup-sang-ayah-tidak-hanya-bisa-pasrah-%f0%9f%98%ad%f0%9f%98%ad/
31,[SALAH] Saipul Jamil Meninggal Dunia,https://turnbackhoax.id/2022/05/30/salah-saipul-jamil-meninggal-dunia/
32,[SALAH] Video “seberapa cepat kereta peluru Jepang”,https://turnbackhoax.id/2022/05/29/salah-video-seberapa-cepat-kereta-peluru-jepang/
33,[SALAH] Akun Facebook “Inul Daratista Berbagi”,https://turnbackhoax.id/2022/05/29/salah-akun-facebook-inul-daratista-berbagi/
34,[SALAH] Foto Pria Berwajah Ustadz Abdul Somad “Berkah Dalem Romo”,https://turnbackhoax.id/2022/05/29/salah-foto-pria-berwajah-ustadz-abdul-somad-berkah-dalem-romo/
35,"[SALAH] Video “Innalillahi ~ Eko kuntadi tak tertolong, Tangis keluarga tak terbendung”",https://turnbackhoax.id/2022/05/29/salah-video-innalillahi-eko-kuntadi-tak-tertolong-tangis-keluarga-tak-terbendung/
36,[SALAH] Video Burung Garuda,https://turnbackhoax.id/2022/05/29/salah-video-burung-garuda-2/
37,[SALAH] Gambar Tangkapan Layar Artikel Aspek.id “Anies menyakinkan pada warga apabila formula E di laksanakan Jakarta tidak akan banjir lagi”,https://turnbackhoax.id/2022/05/29/salah-gambar-tangkapan-layar-artikel-aspek-id-anies-menyakinkan-pada-warga-apabila-formula-e-di-laksanakan-jakarta-tidak-akan-banjir-lagi/
38,[SALAH] Akun WhatsApp Telkomsel +19182336496,https://turnbackhoax.id/2022/05/29/salah-akun-whatsapp-telkomsel-19182336496/
39,[SALAH] Militer Amerika Menemukan Pestisida dalam Vaksin Covid-19 Moderna,https://turnbackhoax.id/2022/05/29/salah-militer-amerika-menemukan-pestisida-dalam-vaksin-covid-19-moderna/
40,[SALAH] Akun Twitter Investasi Terra Luna,https://turnbackhoax.id/2022/05/29/salah-akun-twitter-investasi-terra-luna/
41,[SALAH] Petai dapat menyembuhkan sakit pinggang,https://turnbackhoax.id/2022/05/29/salah-petai-dapat-menyembuhkan-sakit-pinggang/
42,[SALAH] Foto Buku-buku Sejarah Ukraina yang Dibakar Tentara Rusia,https://turnbackhoax.id/2022/05/28/salah-foto-buku-buku-sejarah-ukraina-yang-dibakar-tentara-rusia/
43,[SALAH] Akun Facebook Bupati Halmahera Selatan Usman Sidik,https://turnbackhoax.id/2022/05/28/salah-akun-facebook-bupati-halmahera-selatan-usman-sidik/
44,[SALAH] Akun Facebook Pengasuh Ponpes Genggong Gus Haris Tawarkan Jasa Pesugihan,https://turnbackhoax.id/2022/05/28/salah-akun-facebook-pengasuh-ponpes-genggong-gus-haris-tawarkan-jasa-pesugihan/
45,[SALAH] Pesan Whatsapp Hadiah Gudang Garam Membagikan Hadiah 8000 Dolar,https://turnbackhoax.id/2022/05/28/salah-pesan-whatsapp-hadiah-gudang-garam-membagikan-hadiah-8000-dolar/
46,[SALAH] Meminum Cairan dari Pohon Pisang Dapat Menyembuhkan Asam Lambung,https://turnbackhoax.id/2022/05/27/salah-meminum-cairan-dari-pohon-pisang-dapat-menyembuhkan-asam-lambung/
47,[SALAH] Bill Gates Memiliki Sebagian Besar Lahan Pertanian di Amerika,https://turnbackhoax.id/2022/05/27/salah-bill-gates-memiliki-sebagian-besar-lahan-pertanian-di-amerika/
48,[SALAH] Boba nyangkut di usus buntu gak bisa dicerna,https://turnbackhoax.id/2022/05/27/salah-boba-nyangkut-di-usus-buntu-gak-bisa-dicerna/
49,[SALAH] Gambar Spanduk Bertuliskan “MASJID INI TIDAK MENSHOLATKAN JENAZAH YANG TIDAK MEMBELI TIKET FORMULA E”,https://turnbackhoax.id/2022/05/27/salah-gambar-spanduk-bertuliskan-masjid-ini-tidak-mensholatkan-jenazah-yang-tidak-membeli-tiket-formula-e/
50,[SALAH] Meteor Jatuh di Lapangan Tanjur Bumi Bangkalan,https://turnbackhoax.id/2022/05/27/salah-meteor-jatuh-di-lapangan-tanjur-bumi-bangkalan/
51,[SALAH] Pemberian Hadiah Senilai Rp100 Juta dari TikTok Kepada Pengguna,https://turnbackhoax.id/2022/05/26/salah-pemberian-hadiah-senilai-rp100-juta-dari-tiktok-kepada-pengguna/
52,[SALAH] Akun WhatsApp Labuhanbatu Utara Melakukan Penggalangan Donasi Berupa Uang Untuk Pondok Pesantren dan PAUD,https://turnbackhoax.id/2022/05/26/salah-akun-whatsapp-labuhanbatu-utara-melakukan-penggalangan-donasi-berupa-uang-untuk-pondok-pesantren-dan-paud/
53,"[SALAH] Berita Tribun Manado “diduga cemburu dengan adik kandung yang baru lahir, sang kakak nekad olesi racun di putting ibunya. Anehnya keesokan harinya seisi rumah gempar karna mendapati sopir mereka yang tewas.”",https://turnbackhoax.id/2022/05/26/salah-berita-tribun-manado-diduga-cemburu-dengan-adik-kandung-yang-baru-lahir-sang-kakak-nekad-olesi-racun-di-putting-ibunya-anehnya-keesokan-harinya-seisi-rumah-gempar-karna-mendapati-so/
54,[SALAH] PBB Resmi Menangkan Rusia,https://turnbackhoax.id/2022/05/26/salah-pbb-resmi-menangkan-rusia/
55,[SALAH] Foto Seorang Anak Yaman Tidur di Antara Kuburan Kedua Orang Tuanya,https://turnbackhoax.id/2022/05/26/salah-foto-seorang-anak-yaman-tidur-di-antara-kuburan-kedua-orang-tuanya/
56,[SALAH] “ANIES BASWEDAN KRITIS!! KUTUKAN AHOK BENAR BENAR JADI KENYATAAN”,https://turnbackhoax.id/2022/05/26/salah-anies-baswedan-kritis-kutukan-ahok-benar-benar-jadi-kenyataan/
57,[SALAH] “LARI DARI TANGGUNG JAWAB APARAT TERPAKSA LUMPUHKAN KAKI GUBERNUR DKI”,https://turnbackhoax.id/2022/05/26/salah-lari-dari-tanggung-jawab-aparat-terpaksa-lumpuhkan-kaki-gubernur-dki/
58,"[SALAH] Video “21 Mei 2022, Jokowi Resmi Tunjuk Risma Gantikan Anies”",https://turnbackhoax.id/2022/05/26/salah-video-21-mei-2022-jokowi-resmi-tunjuk-risma-gantikan-anies/
59,[SALAH] Rusia Keluar dari PBB,https://turnbackhoax.id/2022/05/25/salah-rusia-keluar-dari-pbb/
60,[SALAH] Vaksin mRNA Tidak Direkomendasikan Selama Kehamilan,https://turnbackhoax.id/2022/05/24/salah-vaksin-mrna-tidak-direkomendasikan-selama-kehamilan/
61,[SALAH] Vaksin mRNA Menyebabkan Hepatitis Pada Anak,https://turnbackhoax.id/2022/05/24/salah-vaksin-mrna-menyebabkan-hepatitis-pada-anak/
62,[SALAH] Akun WhatsApp Bupati Enrekang Melakukan Penggalangan Donasi Berupa Uang Untuk Pondok Pesantren dan PAUD,https://turnbackhoax.id/2022/05/24/salah-akun-whatsapp-bupati-enrekang-melakukan-penggalangan-donasi-berupa-uang-untuk-pondok-pesantren-dan-paud/
63,[SALAH] Akun WhatsApp Wakil Bupati Bantul dengan Nomor “081213408053” Memberikan Donasi,https://turnbackhoax.id/2022/05/24/salah-akun-whatsapp-wakil-bupati-bantul-dengan-nomor-081213408053-memberikan-donasi/
64,[SALAH] Akun WhatsApp Wali Kota Magelang dengan Nomor “081358908928” Melakukan Penggalangan Donasi Berupa Uang untuk Pondok Pesantren dan PAUD,https://turnbackhoax.id/2022/05/24/salah-akun-whatsapp-wali-kota-magelang-dengan-nomor-081358908928-melakukan-penggalangan-donasi-berupa-uang-untuk-pondok-pesantren-dan-paud/
65,[SALAH] Mobil Esemka Goib,https://turnbackhoax.id/2022/05/24/salah-mobil-esemka-goib/
66,[SALAH] Tabung Gas Meledak Saat Digoyang-goyang,https://turnbackhoax.id/2022/05/24/salah-tabung-gas-meledak-saat-digoyang-goyang/
67,[SALAH] Vlogger Meninggal Dunia Karena Memakan Tokek Beracun,https://turnbackhoax.id/2022/05/23/salah-vlogger-meninggal-dunia-karena-memakan-tokek-beracun/
68,[SALAH] Syahrini Menjadi Istri Simpanan Lelaki Tua,https://turnbackhoax.id/2022/05/23/salah-syahrini-menjadi-istri-simpanan-lelaki-tua/
69,[SALAH] Pasien RSJ Dr Soeharto Heerdjan Kabur,https://turnbackhoax.id/2022/05/23/salah-pasien-rsj-dr-soeharto-heerdjan-kabur/
70,[SALAH] Foto “Remaja ini Tebas Leher Ayahnya karena Sakit Hati Adik Dihamili 3 Bulan dan Ibunya Disiram Minyak Panas”,https://turnbackhoax.id/2022/05/23/salah-foto-remaja-ini-tebas-leher-ayahnya-karena-sakit-hati-adik-dihamili-3-bulan-dan-ibunya-disiram-minyak-panas/
71,[SALAH] Kemampuan Orang Indonesia Dalam Membedakan Fakta & Hoax Adalah Nomor 1 Dari Belakang,https://turnbackhoax.id/2022/05/23/salah-kemampuan-orang-indonesia-dalam-membedakan-fakta-hoax-adalah-nomor-1-dari-belakang/
72,[SALAH] Cek Gula Darah Gratis Menularkan Virus HIV,https://turnbackhoax.id/2022/05/22/salah-cek-gula-darah-gratis-menularkan-virus-hiv/
73,[SALAH] Gelombang Panas Melanda Indonesia,https://turnbackhoax.id/2022/05/22/salah-gelombang-panas-melanda-indonesia/
74,[SALAH] Pesan WhatsApp Bupati Situbondo Karna Siswandi Dengan Nomor “082143626610” Menawarkan Bantuan,https://turnbackhoax.id/2022/05/22/salah-pesan-whatsapp-bupati-situbondo-karna-siswandi-dengan-nomor-082143626610-menawarkan-bantuan/
75,[SALAH] Akun WhatsApp Ketua Fraksi NasDem DPRD DKI Jakarta Wibi Andrino “081262592219”,https://turnbackhoax.id/2022/05/22/salah-akun-whatsapp-ketua-fraksi-nasdem-dprd-dki-jakarta-wibi-andrino-081262592219/
76,[SALAH] Akun WhatsApp Bupati Bantaeng Ilham Azikin “081233588590”,https://turnbackhoax.id/2022/05/22/salah-akun-whatsapp-bupati-bantaeng-ilham-azikin-081233588590/
77,[SALAH] Imbauan Modus Kejahatan Dari Polri dan TNI AD,https://turnbackhoax.id/2022/05/22/salah-imbauan-modus-kejahatan-dari-polri-dan-tni-ad/
78,[SALAH] Lowongan Kerja PT Berau Coal,https://turnbackhoax.id/2022/05/22/salah-lowongan-kerja-pt-berau-coal/
79,[SALAH] Akun WhatsApp Wali Kota Malang Sutiaji “083870256204”,https://turnbackhoax.id/2022/05/22/salah-akun-whatsapp-wali-kota-malang-sutiaji-083870256204/
80,[SALAH] Akun Whatsapp Wakil Wali Kota Malang Sofyan Edi Jarwoko “083822041010”,https://turnbackhoax.id/2022/05/22/salah-akun-whatsapp-wakil-wali-kota-malang-sofyan-edi-jarwoko-083822041010/
81,"[SALAH] Surat Penetapan Penjabat Gubernur Papua Barat Mengatasnamakan Deputi Bidang Administrasi Aparatur, Kementerian Sekretariat Negara",https://turnbackhoax.id/2022/05/22/salah-surat-penetapan-penjabat-gubernur-papua-barat-mengatasnamakan-deputi-bidang-administrasi-aparatur-kementerian-sekretariat-negara/
82,[SALAH] Spanduk McDonalds Bertuliskan “Hey Crypto Bro’s WE ARE HIRING”,https://turnbackhoax.id/2022/05/22/salah-spanduk-mcdonalds-bertuliskan-hey-crypto-bros-we-are-hiring/
83,[SALAH]: 212 Mart Adalah Sponsor Resmi ajang Formula E,https://turnbackhoax.id/2022/05/21/salah-212-mart-adalah-sponsor-resmi-ajang-formula-e/
84,[SALAH] “Innalilahi wainnailaihi Rojiun … Tragis Lettu Marinir Muhammad Ikbal Gugur Ditembak KKB Saat Sujud Sholat Isya”,https://turnbackhoax.id/2022/05/20/salah-innalilahi-wainnailaihi-rojiun-tragis-lettu-marinir-muhammad-ikbal-gugur-ditembak-kkb-saat-sujud-sholat-isya/
85,[SALAH] Berita CNN “Anggota Polisi Ini Dimutasi ke Papua Barat karena Anaknya Hina Idol K-Pop”,https://turnbackhoax.id/2022/05/20/salah-berita-cnn-anggota-polisi-ini-dimutasi-ke-papua-barat-karena-anaknya-hina-idol-k-pop/
86,[SALAH] Umat Muslim Memblokade Jalanan di Perancis dengan Salat Berjamaah,https://turnbackhoax.id/2022/05/20/salah-umat-muslim-memblokade-jalanan-di-perancis-dengan-salat-berjamaah/
87,[SALAH] “Wow Akhirnya Kang Elon Musk Bikin Tweet Kunjungan Presiden Jokowi”,https://turnbackhoax.id/2022/05/20/salah-wow-akhirnya-kang-elon-musk-bikin-tweet-kunjungan-presiden-jokowi/
88,[SALAH] Video Anak Dinosaurus Berkeliaran,https://turnbackhoax.id/2022/05/20/salah-video-anak-dinosaurus-berkeliaran/
89,[SALAH] Berita CNN tentang Dokter Terawan yang Menemukan Pengganti Insulin,https://turnbackhoax.id/2022/05/20/salah-berita-cnn-tentang-dokter-terawan-yang-menemukan-pengganti-insulin/
90,[SALAH] Gambar Tangkapan Layar Artikel Kompas.com “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”,https://turnbackhoax.id/2022/05/20/salah-gambar-tangkapan-layar-artikel-kompas-com-jokowi-beri-isyarat-nempak-nya-akan-mundur-sehabis-lebaran-ini-kegagalan-membayar-utang-dan-kemarahan-rakyat-akibat-kabinet-nya-gagal-kelola-negara/
91,[SALAH]: Botol Minuman Yang Dipegang Jokowi Dan Elon Musk Merupakan Alat Penerjemah Canggih,https://turnbackhoax.id/2022/05/20/salah-botol-minuman-yang-dipegang-jokowi-dan-elon-musk-merupakan-alat-penerjemah-canggih/
92,[SALAH]: Rumah Ustadz Abdul Somad Terbakar,https://turnbackhoax.id/2022/05/20/salah-rumah-ustadz-abdul-somad-terbakar/
93,"[SALAH]: Dabbah Telah Muncul, binatang Pesan Tanda Kiamat",https://turnbackhoax.id/2022/05/18/salah-dabbah-telah-muncul-binatang-pesan-tanda-kiamat/
94,"[SALAH] “Presiden AS Menjemput PM Singapura, sementara Jokowi hanya Dijemput Dubes Indonesia untuk AS.”",https://turnbackhoax.id/2022/05/18/salah-presiden-as-menjemput-pm-singapura-sementara-jokowi-hanya-dijemput-dubes-indonesia-untuk-as/
95,[SALAH] Foto “Gus Ragil dan Gus Yaqut”,https://turnbackhoax.id/2022/05/18/salah-foto-gus-ragil-dan-gus-yaqut/
96,[SALAH] Video “hackers enter indo TV”,https://turnbackhoax.id/2022/05/17/salah-video-hackers-enter-indo-tv/
97,[SALAH] Pijatan Telapak Tangan untuk Sembuhkan Penyumbatan Jantung,https://turnbackhoax.id/2022/05/17/salah-pijatan-telapak-tangan-untuk-sembuhkan-penyumbatan-jantung/
98,[SALAH] Tulisan “ANIES TERLALU MURAH BUAT INDONESIA Oleh: Rhenald Kasali”,https://turnbackhoax.id/2022/05/17/salah-tulisan-anies-terlalu-murah-buat-indonesia-oleh-rhenald-kasali/
99,[SALAH] Pesan WhatsApp Wakil Gubernur Sulawesi Barat dengan Nomor “085855876371” Memberikan Donasi Kepada Masjid Dan Yayasan,https://turnbackhoax.id/2022/05/17/salah-pesan-whatsapp-wakil-gubernur-sulawesi-barat-dengan-nomor-085855876371-memberikan-donasi-kepada-masjid-dan-yayasan/
100,[SALAH] Lowongan Kerja Dinas Kesehatan Kabupaten Karanganyar,https://turnbackhoax.id/2022/05/17/salah-lowongan-kerja-dinas-kesehatan-kabupaten-karanganyar/
101,[SALAH] Marshel Widianto Resmi Menikah Dengan Celine Evangelista,https://turnbackhoax.id/2022/05/17/salah-marshel-widianto-resmi-menikah-dengan-celine-evangelista/
102,[SALAH] Anies Baswedan Mendapat Gelar Amirul Amanah dari Arab Saudi,https://turnbackhoax.id/2022/05/16/salah-anies-baswedan-mendapat-gelar-amirul-amanah-dari-arab-saudi/
103,[SALAH] Nomor WhatsApp JNE +6281342393457 Menawarkan Layanan Rekening Bersama JNE-YES,https://turnbackhoax.id/2022/05/16/salah-nomor-whatsapp-jne-6281342393457-menawarkan-layanan-rekening-bersama-jne-yes/
104,[SALAH] Anies Baswedan Berkali-Kali Salah Mengucapkan Sumpah Jabatan,https://turnbackhoax.id/2022/05/16/salah-anies-baswedan-berkali-kali-salah-mengucapkan-sumpah-jabatan/
105,[SALAH] Video Arus Mudik Balik di Indonesia Perlihatkan Lampu Kendaraan Berwarna Merah Putih,https://turnbackhoax.id/2022/05/16/salah-video-arus-mudik-balik-di-indonesia-perlihatkan-lampu-kendaraan-berwarna-merah-putih/
106,[SALAH] Cina Akan Ambil Alih Kalimantan Jika Indonesia Tidak Segera Membayar Utang,https://turnbackhoax.id/2022/05/16/salah-cina-akan-ambil-alih-kalimantan-jika-indonesia-tidak-segera-membayar-utang/
107,[SALAH] “Pendakwah Gus Santos Barubasah: Sentuh Klitoris tiga Kali Dosa satu tahun Terampuni”,https://turnbackhoax.id/2022/05/15/salah-pendakwah-gus-santos-barubasah-sentuh-klitoris-tiga-kali-dosa-satu-tahun-terampuni/
108,"[SALAH] “Ini foto Anies dan Syeikh Yusuf Al-Qaradhawi, pimpinan ISIS.”",https://turnbackhoax.id/2022/05/15/salah-ini-foto-anies-dan-syeikh-yusuf-al-qaradhawi-pimpinan-isis/
109,"[SALAH] Konvoi Motor dengan Kaos Bertuliskan HARAM Dukung Anies Baswedan, Ruhut Sitompul: “tolong ya pilpres masih 2 ½ tahun lagi”",https://turnbackhoax.id/2022/05/15/salah-konvoi-motor-dengan-kaos-bertuliskan-haram-dukung-anies-baswedan-ruhut-sitompul-tolong-ya-pilpres-masih-2-%c2%bd-tahun-lagi/
110,"[SALAH] Video “Sebelum tahanan ini di eksekusi mati, dia menulis surat untuk ibunya”",https://turnbackhoax.id/2022/05/15/salah-video-sebelum-tahanan-ini-di-eksekusi-mati-dia-menulis-surat-untuk-ibunya/
111,[SALAH] Nomor WhatsApp BCA +61280034998 Menawarkan Layanan Upgrade BCA Prioritas,https://turnbackhoax.id/2022/05/15/salah-nomor-whatsapp-bca-61280034998-menawarkan-layanan-upgrade-bca-prioritas/
112,"[SALAH] “INNALILAHI WA INNAILAIHI ROJI’UN😭😭, Bertepatan Hari Ini 10 Mei 2022, Ammar Zoni Dan Wisnu Meninggal Dunia Tertabrak Mobil, Tangis Sang Istri Pecah😭😭”",https://turnbackhoax.id/2022/05/15/salah-innalilahi-wa-innailaihi-rojiun%f0%9f%98%ad%f0%9f%98%ad-bertepatan-hari-ini-10-mei-2022-ammar-zoni-dan-wisnu-meninggal-dunia-tertabrak-mobil-tangis-sang-istri-pecah%f0%9f%98%ad/
113,[SALAH] “Perahu wisatawan di hantam ombak laut Pangandaran”,https://turnbackhoax.id/2022/05/13/salah-perahu-wisatawan-di-hantam-ombak-laut-pangandaran/
114,[SALAH] Link Kuesioner PLN Berhadiah 2.000.000,https://turnbackhoax.id/2022/05/13/salah-link-kuesioner-pln-berhadiah-2-000-000/
115,[SALAH] Volodymyr Zelenskyy Pecandu Kokain,https://turnbackhoax.id/2022/05/13/salah-volodymyr-zelenskyy-pecandu-kokain/
116,[SALAH] Narkotika Jenis Kokain yang Siap Konsumsi Terdapat di Meja Kerja Presiden Ukraina,https://turnbackhoax.id/2022/05/13/salah-narkotika-jenis-kokain-yang-siap-konsumsi-terdapat-di-meja-kerja-presiden-ukraina/
117,[SALAH]: Seorang Pemuda Membuang Uang Tabungannya di Jalan Karena Depresi Ditinggal Nikah oleh Kekasihnya,https://turnbackhoax.id/2022/05/12/salah-seorang-pemuda-membuang-uang-tabungannya-di-jalan-karena-depresi-ditinggal-nikah-oleh-kekasihnya/
118,"[SALAH]: Selamat Jalan, Ari Lasso Dikuburkan di Klegen Kartoharjo",https://turnbackhoax.id/2022/05/12/salah-selamat-jalan-ari-lasso-dikuburkan-di-klegen-kartoharjo/
119,[SALAH] Pilot Selfie Saat Pesawat Sedang Terbang Untuk Meyakinkan Istri,https://turnbackhoax.id/2022/05/12/salah-pilot-selfie-saat-pesawat-sedang-terbang-untuk-meyakinkan-istri/
120,[SALAH] Hari Jadi Penerbangan Garuda Indonesia ke-73,https://turnbackhoax.id/2022/05/12/salah-hari-jadi-penerbangan-garuda-indonesia-ke-73/
121,[SALAH] Subsidi biaya komunikasi pemerintah Telkom Indonesia,https://turnbackhoax.id/2022/05/12/salah-subsidi-biaya-komunikasi-pemerintah-telkom-indonesia/
122,[SALAH] “Menag minta masyarakat iklaskan Dana Haji dipakai Pemerintah untuk IKN”,https://turnbackhoax.id/2022/05/12/salah-menag-minta-masyarakat-iklaskan-dana-haji-dipakai-pemerintah-untuk-ikn/
123,[SALAH] Video “Ma’ruf Amin sholat mayat menggunakan ruku’ dan sujud”,https://turnbackhoax.id/2022/05/12/salah-video-maruf-amin-sholat-mayat-menggunakan-ruku-dan-sujud/
124,[SALAH] Foto Lebaran di Indonesia Tahun 2022,https://turnbackhoax.id/2022/05/12/salah-foto-lebaran-di-indonesia-tahun-2022/
125,[SALAH] Ustadz Yusuf Mansur Ajarkan Mencuri di Mall,https://turnbackhoax.id/2022/05/11/salah-ustadz-yusuf-mansur-ajarkan-mencuri-di-mall/
